Date,Price,Open,High,Low,Volume,Change%
2026-03-27,1.3895,1.3862,1.3897,1.3845,NULL,0.25%
2026-03-26,1.3861,1.3811,1.3868,1.3803,NULL,0.36%
2026-03-25,1.3811,1.3764,1.3821,1.3750,NULL,0.35%
2026-03-24,1.3763,1.3728,1.3786,1.3720,NULL,0.26%
2026-03-23,1.3727,1.3720,1.3756,1.3669,NULL,0.02%
2026-03-20,1.3724,1.3739,1.3748,1.3699,NULL,-0.11%
2026-03-19,1.3739,1.3732,1.3750,1.3704,NULL,0.04%
2026-03-18,1.3733,1.3691,1.3739,1.3687,NULL,0.31%
2026-03-17,1.3691,1.3687,1.3724,1.3679,NULL,0.03%
2026-03-16,1.3687,1.3712,1.3734,1.3652,NULL,-0.23%
2026-03-13,1.3718,1.3641,1.3742,1.3621,NULL,0.56%
2026-03-12,1.3642,1.3594,1.3644,1.3576,NULL,0.35%
2026-03-11,1.3594,1.3581,1.3607,1.3554,NULL,0.10%
2026-03-10,1.3581,1.3588,1.3603,1.3542,NULL,-0.05%
2026-03-09,1.3588,1.3601,1.3608,1.3525,NULL,0.15%
2026-03-06,1.3567,1.3678,1.3681,1.3563,NULL,-0.80%
2026-03-05,1.3676,1.3642,1.3717,1.3615,NULL,0.23%
2026-03-04,1.3644,1.3676,1.3702,1.3626,NULL,-0.26%
2026-03-03,1.3679,1.3676,1.3754,1.3653,NULL,0.02%
2026-03-02,1.3676,1.3653,1.3720,1.3637,NULL,0.23%
2026-02-27,1.3645,1.3679,1.3686,1.3624,NULL,-0.26%
2026-02-26,1.3681,1.3681,1.3714,1.3659,NULL,0.04%
2026-02-25,1.3675,1.3701,1.3708,1.3672,NULL,-0.18%
2026-02-24,1.3700,1.3697,1.3726,1.3691,NULL,0.02%
2026-02-23,1.3697,1.3681,1.3706,1.3647,NULL,0.11%
2026-02-20,1.3682,1.3680,1.3712,1.3669,NULL,0.01%
2026-02-19,1.3681,1.3697,1.3716,1.3668,NULL,-0.10%
2026-02-18,1.3695,1.3636,1.3702,1.3631,NULL,0.43%
2026-02-17,1.3636,1.3634,1.3693,1.3630,NULL,0.00%
2026-02-16,1.3636,1.3615,1.3640,1.3603,NULL,0.13%
2026-02-13,1.3618,1.3611,1.3639,1.3592,NULL,0.05%
2026-02-12,1.3611,1.3570,1.3636,1.3554,NULL,0.25%
2026-02-11,1.3577,1.3552,1.3620,1.3503,NULL,0.18%
2026-02-10,1.3552,1.3558,1.3578,1.3523,NULL,-0.04%
2026-02-09,1.3558,1.3655,1.3682,1.3552,NULL,-0.89%
2026-02-06,1.3680,1.3712,1.3726,1.3624,NULL,-0.23%
2026-02-05,1.3712,1.3661,1.3712,1.3651,NULL,0.35%
2026-02-04,1.3664,1.3641,1.3686,1.3628,NULL,0.16%
2026-02-03,1.3642,1.3680,1.3687,1.3632,NULL,-0.29%
2026-02-02,1.3681,1.3596,1.3704,1.3596,NULL,0.47%
2026-01-30,1.3617,1.3491,1.3625,1.3481,NULL,0.94%
2026-01-29,1.3490,1.3556,1.3579,1.3484,NULL,-0.49%
2026-01-28,1.3557,1.3583,1.3615,1.3535,NULL,-0.13%
2026-01-27,1.3575,1.3705,1.3741,1.3558,NULL,-0.96%
2026-01-26,1.3707,1.3708,1.3721,1.3670,NULL,0.04%
2026-01-23,1.3701,1.3785,1.3801,1.3693,NULL,-0.62%
2026-01-22,1.3786,1.3834,1.3846,1.3782,NULL,-0.35%
2026-01-21,1.3835,1.3832,1.3844,1.3785,NULL,-0.01%
2026-01-20,1.3837,1.3869,1.3880,1.3813,NULL,-0.23%
2026-01-19,1.3869,1.3909,1.3920,1.3859,NULL,-0.34%
2026-01-16,1.3916,1.3889,1.3930,1.3884,NULL,0.17%
2026-01-15,1.3893,1.3882,1.3921,1.3876,NULL,0.09%
2026-01-14,1.3881,1.3889,1.3899,1.3866,NULL,-0.06%
2026-01-13,1.3889,1.3874,1.3899,1.3855,NULL,0.07%
2026-01-12,1.3879,1.3910,1.3919,1.3867,NULL,-0.25%
2026-01-09,1.3914,1.3863,1.3921,1.3861,NULL,0.36%
2026-01-08,1.3864,1.3861,1.3889,1.3849,NULL,0.01%
2026-01-07,1.3862,1.3813,1.3863,1.3790,NULL,0.34%
2026-01-06,1.3815,1.3772,1.3818,1.3750,NULL,0.30%
2026-01-05,1.3773,1.3735,1.3817,1.3729,NULL,0.32%
2026-01-02,1.3729,1.3724,1.3748,1.3700,NULL,0.01%
2026-01-01,1.3727,1.3725,1.3727,1.3725,NULL,0.01%
2025-12-31,1.3725,1.3693,1.3729,1.3687,NULL,0.20%
2025-12-30,1.3697,1.3691,1.3710,1.3678,NULL,0.04%
2025-12-29,1.3691,1.3666,1.3703,1.3657,NULL,0.14%
2025-12-26,1.3672,1.3682,1.3687,1.3642,NULL,-0.07%
2025-12-25,1.3682,1.3672,1.3685,1.3667,NULL,0.04%
2025-12-24,1.3676,1.3689,1.3695,1.3664,NULL,-0.09%
2025-12-23,1.3688,1.3750,1.3755,1.3685,NULL,-0.44%
2025-12-22,1.3749,1.3796,1.3806,1.3735,NULL,-0.38%
2025-12-19,1.3802,1.3778,1.3807,1.3754,NULL,0.19%
2025-12-18,1.3776,1.3786,1.3798,1.3755,NULL,-0.07%
2025-12-17,1.3786,1.3756,1.3800,1.3752,NULL,0.22%
2025-12-16,1.3756,1.3771,1.3783,1.3729,NULL,-0.09%
2025-12-15,1.3769,1.3767,1.3790,1.3747,NULL,-0.03%
